date	Gas	Flaring	Coal	Oil	Cement	Land Use
1959	206	36	1382	789	40	1473
1960	227	39	1410	849	43	1461
1961	240	42	1349	904	45	1530
1962	263	44	1351	980	49	1520
1963	286	47	1396	1052	51	1526
1964	316	51	1435	1137	57	1517
1965	337	55	1460	1219	59	1548
1966	364	60	1478	1323	63	1551
1967	392	66	1448	1423	65	1595
1968	424	73	1448	1551	70	1546
1969	467	80	1486	1673	74	1543
1970	493	87	1556	1839	78	1531
1971	530	88	1559	1947	84	1405
1972	560	95	1576	2057	89	1326
1973	588	110	1581	2241	95	1318
1974	597	107	1579	2245	96	1290
1975	604	92	1673	2132	95	1302
1976	630	108	1710	2314	103	1319
1977	650	104	1756	2398	108	1351
1978	680	106	1780	2392	116	1299
1979	721	98	1875	2544	119	1252
1980	737	86	1935	2422	120	1243
1981	755	65	1908	2289	121	1252
1982	738	64	1976	2196	121	1257
1983	739	58	1977	2176	125	1432
1984	807	51	2074	2199	128	1460
1985	835	49	2216	2186	131	1499
1986	830	46	2277	2293	137	1529
1987	892	44	2339	2306	143	1515
1988	935	50	2387	2412	152	1514
1989	982	41	2428	2459	156	1531
1990	1022	40	2392	2474	157	1444
1991	1048	45	2327	2585	161	1636
1992	1082	36	2345	2485	167	1682
1993	1115	37	2296	2501	176	1546
1994	1129	39	2351	2521	186	1503
1995	1149	39	2396	2543	197	1485
1996	1196	40	2429	2607	203	1469
1997	1192	40	2452	2674	209	2182
1998	1220	36	2392	2736	209	1540
1999	1253	35	2397	2721	217	1303
2000	1280	46	2413	2820	226	1201
2001	1306	47	2561	2823	237	961
2002	1339	49	2624	2809	252	1070
2003	1389	48	2824	2937	276	901
2004	1434	54	3046	3023	298	1038
2005	1476	60	3327	3049	320	1025
2006	1531	62	3508	3069	356	1092
2007	1562	66	3690	3076	382	966
2008	1627	69	3779	3100	388	668
2009	1583	64	3770	3040	415	754
2010	1705	66	3851	3139	448	885
2011	1767	64	4047	3168	496	913
2012	1790	65	4084	3228	520	970
2013	1810	68	4162	3227	554	918
2014	1820	68	4178	3256	569	1095
2015	1851	68	4102	3318	558	1317
